,ID,COMPANY,PROVINCE,geometry,index_right,Latitude,Longitude
4481,12315433,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-120.20860404592116 55.99447499032879),0,55.99447499032879,-120.20860404592116
4483,12315435,Canlin Energy Corporation,BRITISH COLUMBIA,POINT (-121.90544559200303 57.41378951588237),0,57.41378951588237,-121.90544559200303
4488,12315440,Cardinal Energy Ltd.,BRITISH COLUMBIA,POINT (-120.12213013872311 56.079211883053944),0,56.079211883053944,-120.12213013872311
4491,12315443,Enercapita Energy Ltd.,BRITISH COLUMBIA,POINT (-120.06154035485095 56.54523161863029),0,56.54523161863029,-120.06154035485095
4492,12315444,Canlin Energy Corporation,BRITISH COLUMBIA,POINT (-121.90049557864597 57.39724729496964),0,57.39724729496964,-121.90049557864597
4498,12315450,PETRONAS Energy Canada Ltd.,BRITISH COLUMBIA,POINT (-120.63209923239161 56.36026356226224),0,56.36026356226224,-120.63209923239161
4500,12315452,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.45534230650411 57.396754977494226),0,57.396754977494226,-121.45534230650411
4522,12315474,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.33850155542909 55.61866620286328),0,55.61866620286328,-120.33850155542909
4532,12315484,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.26968101581515 55.237285717600045),0,55.237285717600045,-120.26968101581515
4533,12315485,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.01655003662901 56.242145461313726),0,56.242145461313726,-122.01655003662901
4534,12315486,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.0163956746653 56.242250258617354),0,56.242250258617354,-122.0163956746653
4535,12315487,Murphy Oil Company Ltd.,BRITISH COLUMBIA,POINT (-120.64491736519757 55.73687818345579),0,55.73687818345579,-120.64491736519757
4536,12315488,ARC Resources Ltd.,BRITISH COLUMBIA,POINT (-120.42625837988057 55.95170038887476),0,55.95170038887476,-120.42625837988057
4538,12315490,ARC Resources Ltd.,BRITISH COLUMBIA,POINT (-120.20724328677527 55.87561209490927),0,55.87561209490927,-120.20724328677527
4540,12315492,ARC Resources Ltd.,BRITISH COLUMBIA,POINT (-120.20749749542719 55.875612472267896),0,55.875612472267896,-120.20749749542719
4542,12315494,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.05984457798307 56.23784206980971),0,56.23784206980971,-122.05984457798307
4546,12315498,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.89525342974008 55.914612169613285),0,55.914612169613285,-120.89525342974008
4550,12315502,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.8849840717159 55.81671521654229),0,55.81671521654229,-120.8849840717159
4552,12315504,PETRONAS Energy Canada Ltd.,BRITISH COLUMBIA,POINT (-122.36842300783727 57.05820426450234),0,57.05820426450234,-122.36842300783727
4553,12315505,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-121.90298306699023 57.572471979442966),0,57.572471979442966,-121.90298306699023
4555,12315507,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.04754785003121 55.57729250339964),0,55.57729250339964,-120.04754785003121
4556,12315508,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.04730962647972 55.57729332467691),0,55.57729332467691,-120.04730962647972
4562,12315514,Enerplus Corporation,BRITISH COLUMBIA,POINT (-122.22897456322804 57.63444367330118),0,57.63444367330118,-122.22897456322804
4563,12315515,Enerplus Corporation,BRITISH COLUMBIA,POINT (-122.22855591348333 57.63444111947893),0,57.63444111947893,-122.22855591348333
4566,12315518,STRATHCONA RESOURCES LTD.,BRITISH COLUMBIA,POINT (-120.74680774771079 56.43914934285424),0,56.43914934285424,-120.74680774771079
4571,12315523,Crew Energy Inc.,BRITISH COLUMBIA,POINT (-120.99322272003697 56.088994244614014),0,56.088994244614014,-120.99322272003697
4574,12315526,Pacific Canbriam Energy Limited,BRITISH COLUMBIA,POINT (-122.0883644871698 56.17628577626255),0,56.17628577626255,-122.0883644871698
4575,12315527,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.55615306468513 55.87217145818135),0,55.87217145818135,-120.55615306468513
4576,12315528,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.04263125104691 56.22574645131172),0,56.22574645131172,-122.04263125104691
4577,12315529,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.04250564737421 56.2258029841407),0,56.2258029841407,-122.04250564737421
4578,12315530,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.04238163618528 56.22586042696442),0,56.22586042696442,-122.04238163618528
4580,12315532,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-120.94602316964543 56.07572947286361),0,56.07572947286361,-120.94602316964543
4582,12315534,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.53229059333553 55.809551245248876),0,55.809551245248876,-120.53229059333553
4583,12315535,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.06258921689566 56.22481837454837),0,56.22481837454837,-122.06258921689566
4584,12315536,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.0624636464593 56.22487492793594),0,56.22487492793594,-122.0624636464593
4585,12315537,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.06233968795513 56.22493149239702),0,56.22493149239702,-122.06233968795513
4586,12315538,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.06221411679755 56.224988045541785),0,56.224988045541785,-122.06221411679755
